No;Especie;Luz;Microbio;Cosecha;Tiempo;Evento;NSC;Lignina;AMF_Imp;PHN_Imp;NSC_Imp;LIG_Imp
612;Acsa;Baja;Grande;3;21;0;NA;4.96;7.51;0.38;13.06;11.49
620;Acru;Baja;Grande;NA;63;1;NA;NA;0;0.36;11.35;11.71
629;Acsa;Baja;Grande;NA;63;1;NA;NA;0;0.21;9.41;8.62
657;Acru;Baja;Grande;9;63;0;NA;9.3;0.69;-0.03;4.27;8.54
662;Acru;Baja;Grande;NA;24;1;NA;NA;0.38;0.2;8.95;7.64
673;Acsa;Baja;Grande;9;63;0;NA;9.23;0.38;0.2;8.95;7.64
682;Acsa;Baja;Grande;NA;63;1;NA;NA;0.38;0.2;8.95;7.64
688;Acne;Baja;Grande;9;63;0;NA;7.94;0.38;0.2;8.95;7.64
689;Acsa;Baja;Grande;NA;63;1;NA;NA;0.61;0;5.95;6.76
710;Acru;Baja;Grande;9;63;0;NA;8.53;0.69;-0.03;2.3;8.54
716;Acru;Baja;Grande;NA;30;1;NA;NA;0.92;-0.01;5.38;7.73
729;Acsa;Baja;Grande;3;21;0;NA;14.51;0.67;-0.02;5.73;7.52
734;Acne;Baja;Grande;NA;40;1;NA;NA;-0.01;0.13;8.4;5.74
737;Acru;Baja;Grande;6;42;0;NA;8.22;0.74;0.4;11.9;10.85
746;Acsa;Baja;Grande;3;21;0;NA;13.66;0.6;-0.01;3.71;7.77
759;Acne;Baja;Grande;3;21;0;NA;5.35;1;0.05;5.74;10.04
760;Acne;Baja;Grande;6;42;0;NA;5.5;0;0.17;8.73;9.19
775;Acru;Baja;Grande;NA;39;1;NA;NA;0.69;-0.03;0.67;8.54
779;Acru;Baja;Grande;3;21;0;NA;7.02;0.69;-0.03;2.92;8.54
780;Acne;Baja;Grande;NA;63;1;NA;NA;0.69;-0.03;2.97;8.54
787;Acru;Baja;Grande;3;21;0;NA;9.93;0;0.14;9.22;10.75
796;Acne;Baja;Grande;NA;34;1;NA;NA;0.43;0.21;8.93;7.62
817;Acne;Baja;Grande;3;21;0;NA;1.79;0.83;0.08;7.01;9.7
818;Acsa;Baja;Grande;6;42;0;NA;9.6;0;-0.32;4.9;9.7
827;Acne;Baja;Grande;6;42;0;NA;3.79;0.69;-0.03;3.59;8.54
832;Acsa;Baja;Grande;6;42;0;NA;10.62;0;0.22;8.78;10.16
838;Acne;Baja;Grande;9;63;0;NA;4.26;0.38;0.2;8.95;7.64
842;Acru;Baja;Grande;NA;63;1;NA;NA;0.67;-0.02;5.73;7.52
844;Acne;Baja;Grande;9;63;0;NA;3.74;0;0.19;8.82;5.11
849;Acru;Baja;Grande;6;42;0;NA;13.71;0.38;0.2;8.95;7.64
855;Acne;Baja;Grande;NA;63;1;NA;NA;-0.02;-0.01;6.47;5.09
856;Acne;Baja;Grande;3;21;0;NA;6.86;1;0.23;9.16;8.5
863;Acsa;Baja;Grande;NA;63;1;NA;NA;0.69;-0.03;2.92;8.54
865;Acsa;Baja;Grande;9;63;0;NA;11.76;0;0.3;11.19;12.14
877;Acru;Baja;Grande;9;63;0;NA;6.45;0;-0.06;6.41;6.05
889;Acne;Baja;Grande;NA;63;1;NA;NA;0;0.06;7.05;5.11
894;Acru;Baja;Grande;3;21;0;NA;3.65;0.33;-0.01;5.91;7.09
905;Acru;Baja;Grande;NA;24;1;NA;NA;0.91;-0.01;5.3;7.75
911;Acru;Baja;Grande;9;63;0;NA;5.24;1.64;0.08;6.08;9.61
916;Acsa;Baja;Grande;NA;63;1;NA;NA;0.69;-0.03;2.92;8.54
917;Acsa;Baja;Grande;3;21;0;NA;10.76;0.67;-0.02;5.73;7.52
938;Acne;Baja;Grande;NA;63;1;NA;NA;0;0;5.79;8.51
939;Acru;Baja;Grande;6;42;0;NA;10.98;0.38;0.17;8.39;9.17
948;Acne;Baja;Grande;6;42;0;NA;7.57;0;0.33;9.98;6.28
955;Acru;Baja;Grande;NA;63;1;NA;NA;0.69;-0.03;2.99;8.54
958;Acsa;Baja;Grande;9;63;0;NA;10.65;0.67;-0.02;5.73;7.52
966;Acsa;Baja;Grande;NA;41;1;NA;NA;0.38;0.2;8.95;7.64
970;Acsa;Baja;Grande;NA;63;1;NA;NA;0.69;-0.03;2.75;8.54
982;Acru;Baja;Grande;NA;63;1;NA;NA;0.64;0;6.67;5.08
992;Acne;Baja;Grande;9;63;0;NA;7.4;0;0.07;6.86;9.95
996;Acsa;Baja;Grande;6;42;0;NA;14.88;0.69;-0.03;2.92;8.54
1000;Acne;Baja;Grande;NA;28;1;NA;NA;0.24;-0.04;6.28;5.91
1006;Acsa;Baja;Grande;6;42;0;NA;12.17;0.69;-0.03;2.92;8.54
1010;Acne;Baja;Grande;NA;63;1;NA;NA;0.67;-0.02;5.73;7.52
1023;Acsa;Baja;Grande;9;63;0;NA;12.06;0.69;-0.03;2.61;8.54
1043;Acru;Baja;Grande;NA;39;1;NA;NA;0;0.18;8.12;8.69
1054;Acne;Baja;Grande;3;21;0;NA;5.59;0.69;-0.03;3.15;8.54
1069;Acru;Baja;Grande;3;21;0;NA;8.1;0;0.34;10.14;10.16
1076;Acne;Baja;Grande;6;42;0;NA;5.78;0.69;-0.03;2.92;8.54
1097;Acsa;Baja;Grande;3;21;0;NA;10.61;1;-0.05;5.02;8.87
1108;Acne;Baja;Grande;NA;22;1;NA;NA;1.03;0.08;6.2;9.58
1111;Acru;Baja;Grande;6;42;0;NA;7.95;0.7;-0.03;4.86;8.47
1112;Acsa;Baja;Grande;NA;63;1;NA;NA;0.6;-0.01;5.75;7.53
1114;Acru;Baja;Grande;9;63;0;NA;7.2;0.68;0.12;8.35;5.86
1118;Acru;Baja;Grande;NA;36;1;NA;NA;0.67;-0.02;5.73;7.52
1125;Acru;Baja;Grande;9;63;0;NA;11.45;0.69;-0.03;2.92;8.54
1131;Acru;Baja;Grande;NA;63;1;NA;NA;0.67;-0.02;5.73;7.52
1137;Acne;Baja;Grande;9;63;0;NA;3.99;0.6;-0.01;4.05;7.77
1151;Acsa;Baja;Grande;NA;63;1;NA;NA;0.69;-0.03;4.32;8.54
1159;Acru;Baja;Grande;NA;18;1;NA;NA;0.69;-0.03;2.92;8.54
1179;Acne;Baja;Grande;3;21;0;NA;6.42;0.38;0.2;8.95;7.64
1182;Acsa;Baja;Grande;NA;56;1;NA;NA;0.6;-0.01;3.15;7.77
1190;Acsa;Baja;Grande;9;63;0;NA;11.18;1.61;0.03;5.63;9.36
1191;Acsa;Baja;Grande;NA;17;1;NA;NA;0.38;0.2;8.95;7.64
1200;Acne;Baja;Grande;NA;63;1;NA;NA;0.38;0.2;8.95;7.64
1210;Acsa;Alta;Grande;3;21;0;NA;12.92;9.99;0.42;13.63;11.25
1216;Acru;Alta;Grande;3;21;0;NA;12.77;1.46;0.28;11.5;9.57
1227;Acru;Alta;Grande;3;21;0;NA;6.34;0;0.24;10.69;13.44
1245;Acsa;Alta;Grande;3;21;0;NA;10.76;0;0.34;11.23;11.28
1246;Acne;Alta;Grande;NA;63;1;NA;NA;19.33;0.4;13.29;7.09
1259;Acne;Alta;Grande;9;63;0;NA;8.17;1.56;0.25;11.2;9.85
1294;Acne;Alta;Grande;NA;63;1;NA;NA;7.25;0.42;12.64;10.35
1320;Acne;Alta;Grande;3;21;0;NA;7.42;17.96;0.37;12.57;6.48
1323;Acru;Alta;Grande;6;42;0;NA;9.65;0.57;0.22;10.06;9
1333;Acru;Alta;Grande;9;63;0;NA;5.69;0;-0.01;5.99;8.28
1337;Acru;Alta;Grande;NA;63;1;NA;NA;0;-0.04;5.93;9.49
1348;Acne;Alta;Grande;NA;63;1;NA;NA;0.67;0.25;10.52;10.15
1351;Acru;Alta;Grande;NA;63;1;NA;NA;0;-0.1;6.61;7.58
1361;Acru;Alta;Grande;NA;63;1;NA;NA;0.7;0.24;10.65;10.53
1366;Acru;Alta;Grande;6;42;0;NA;8.12;17.96;0.37;12.57;6.48
1394;Acsa;Alta;Grande;9;63;0;NA;11.73;9.99;0.42;13.65;11.26
1396;Acru;Alta;Grande;3;21;0;NA;5.82;0.25;0.39;11.71;4.84
1397;Acsa;Alta;Grande;NA;63;1;NA;NA;0;0.24;9.74;7.3
1400;Acsa;Alta;Grande;6;42;0;NA;14.77;0.57;0.22;10.06;9
1410;Acne;Alta;Grande;3;21;0;NA;6.26;0.57;0.22;10.06;9
1413;Acne;Alta;Grande;6;42;0;NA;10.47;17.96;0.37;12.57;6.48
1419;Acne;Alta;Grande;9;63;0;NA;8.97;0.3;0.18;9.99;8.88
1421;Acsa;Alta;Grande;6;42;0;NA;12.21;0.99;0.17;10.09;9.16
1430;Acne;Alta;Grande;NA;63;1;NA;NA;1.01;0.01;7.41;8.32
1432;Acru;Alta;Grande;9;63;0;NA;7.8;0;0.18;9.94;10.34
1436;Acne;Alta;Grande;NA;63;1;NA;NA;23.83;0.44;15.06;7.64
1440;Acne;Alta;Grande;3;21;0;NA;7.29;23.14;0.41;14.07;7.36
1442;Acru;Alta;Grande;NA;23;1;NA;NA;15.37;0.4;15.31;9.71
1451;Acsa;Alta;Grande;9;63;0;NA;12.31;0.93;0.12;9.69;6.29
1452;Acsa;Alta;Grande;NA;63;1;NA;NA;17.96;0.37;12.57;6.48
1454;Acru;Alta;Grande;3;21;0;NA;8.93;14.26;0.41;14.91;9.68
1455;Acsa;Alta;Grande;3;21;0;NA;13.54;17.9;0.37;12.52;6.5
1468;Acne;Alta;Grande;6;42;0;NA;6.13;10.7;0.42;13.69;11.13
1469;Acsa;Alta;Grande;NA;63;1;NA;NA;10.7;0.42;13.69;11.13
1497;Acne;Alta;Grande;NA;36;1;NA;NA;0;0.59;12.88;5.41
1502;Acsa;Alta;Grande;NA;37;1;NA;NA;0;0.08;8;10.1
1512;Acne;Alta;Grande;9;63;0;NA;7.59;17.96;0.37;12.57;6.48
1513;Acsa;Alta;Grande;3;21;0;NA;12.93;0.28;0.32;11.36;5.89
1514;Acsa;Alta;Grande;9;63;0;NA;14.35;0;0.14;9.13;6.78
1515;Acsa;Alta;Grande;6;42;0;NA;9.96;16.96;0.48;17.04;11.96
1518;Acsa;Alta;Grande;6;42;0;NA;16.2;0;0.06;7.68;7.05
1521;Acne;Alta;Grande;6;42;0;NA;5.58;0;0.4;11.79;9.25
1537;Acru;Alta;Grande;6;42;0;NA;8.08;0.29;0.29;10.8;10.97
1550;Acne;Alta;Grande;NA;33;1;NA;NA;0;0.13;8.45;8.14
1562;Acru;Alta;Grande;9;63;0;NA;8.49;1.06;0.44;11.85;6.29
1571;Acne;Alta;Grande;9;63;0;NA;7.43;0.91;0.27;10.25;9.9
1586;Acru;Alta;Grande;6;42;0;NA;3.27;0;0.18;9.98;7.46
1601;Acne;Alta;Grande;3;21;0;NA;4.56;0;0.34;11.26;5.76
1615;Acne;Alta;Grande;NA;63;1;NA;NA;16.75;0.48;16.3;11.93
1620;Acru;Alta;Grande;9;63;0;NA;8.22;0;0.54;12.51;6.06
1624;Acsa;Alta;Grande;NA;63;1;NA;NA;0.57;0.22;10.06;9
1628;Acsa;Alta;Grande;NA;63;1;NA;NA;6.71;0.42;12.73;10.46
1630;Acsa;Alta;Grande;9;63;0;NA;9.56;1.09;0.27;11.18;5.99
1637;Acru;Alta;Grande;NA;63;1;NA;NA;0;0.16;9.82;6.73
1649;Acne;Alta;Grande;NA;63;1;NA;NA;0.57;0.22;10.06;9
1657;Acne;Alta;Grande;3;21;0;NA;6.07;0;0.24;10.47;5.88
1669;Acru;Alta;Grande;NA;32;1;NA;NA;0.57;0.22;10.06;9
1673;Acne;Alta;Grande;6;42;0;NA;7.61;3.22;0.33;12.16;9.48
1677;Acne;Alta;Grande;6;42;0;NA;8.81;0;0.35;10.81;10.47
1683;Acru;Alta;Grande;3;21;0;NA;5.08;0.87;0;6.52;8.08
1691;Acne;Alta;Grande;9;63;0;NA;8.17;1.14;0.02;6.71;8.89
1700;Acru;Alta;Grande;NA;20;1;NA;NA;10.7;0.42;13.69;11.13
1713;Acne;Alta;Grande;9;63;0;NA;9.08;0;0.03;6.92;7.6
1717;Acne;Alta;Grande;NA;63;1;NA;NA;0;0.32;10.97;11.29
1723;Acru;Alta;Grande;3;21;0;NA;7.68;0;0.45;13.57;13.88
1732;Acsa;Alta;Grande;NA;63;1;NA;NA;2;0.29;11.4;11.33
1742;Acne;Alta;Grande;NA;30;1;NA;NA;0;0.2;9.33;7.17
1747;Acsa;Alta;Grande;3;21;0;NA;13.6;4.38;0.4;12.02;6.31
1753;Acru;Alta;Grande;NA;63;1;NA;NA;13.98;0.39;14.24;9.78
1759;Acsa;Alta;Grande;NA;63;1;NA;NA;17.96;0.37;12.57;6.48
1793;Acsa;Alta;Grande;3;21;0;NA;9.45;0;0.54;12.7;10.65
1799;Acru;Alta;Grande;6;42;0;NA;6.23;7.35;0.41;12.86;10.52
1802;Acsa;Alta;Grande;6;42;0;NA;9.82;0.88;0.02;6.25;8.32
1812;Acne;Alta;Grande;NA;63;1;NA;NA;4.58;0.41;12.39;10.24
1816;Acru;Alta;Grande;9;63;0;NA;6.28;0;0.22;10.61;7.62
1825;Acsa;Alta;Grande;6;42;0;NA;8.74;13.75;0.48;14.9;11.32
1826;Acru;Alta;Grande;NA;63;1;NA;NA;16.75;0.48;16.28;11.93
1844;Acsa;Alta;Grande;9;63;0;NA;13.3;0.84;0.1;8.77;9.06
1847;Acne;Alta;Grande;3;21;0;NA;5.19;12.38;0.45;14.41;11.53
1853;Acne;Alta;Grande;6;42;0;NA;8.98;10.7;0.42;13.69;11.13
1860;Acsa;Alta;Grande;NA;63;1;NA;NA;2.15;0.25;11.22;9.88
1863;Acru;Alta;Grande;9;63;0;NA;7.79;0;0.06;7.73;6.35
1867;Acru;Alta;Grande;NA;63;1;NA;NA;10.7;0.42;13.69;11.13
1874;Acsa;Alta;Grande;NA;63;1;NA;NA;0;0.26;10.39;11.96
1875;Acru;Alta;Grande;NA;63;1;NA;NA;0;0.25;10.38;5.59
1887;Acne;Alta;Grande;9;63;0;NA;7.84;0;0.13;8.83;11.09
1889;Acru;Alta;Grande;6;42;0;NA;7.92;0;0.49;12.64;11.22
1890;Acru;Alta;Grande;3;21;0;NA;5.8;17.96;0.37;12.57;6.48
1893;Acru;Alta;Grande;6;42;0;NA;10.78;0;0.57;12.98;8.8
1914;Acsa;Alta;Grande;NA;63;1;NA;NA;0;0.14;9.3;9.97
1928;Acsa;Alta;Grande;9;63;0;NA;16.33;10.7;0.42;13.69;11.13
1936;Acsa;Alta;Grande;NA;63;1;NA;NA;15.41;0.46;15.34;11.65
1944;Acne;Alta;Grande;NA;63;1;NA;NA;0;0.05;8.11;4.38
1952;Acsa;Alta;Grande;3;21;0;NA;10.78;10.7;0.42;13.69;11.13
1967;Acsa;Alta;Grande;3;21;0;NA;14.88;0;0.21;10.09;2.3
1969;Acru;Alta;Grande;NA;63;1;NA;NA;0;0.27;10.26;9.69
2008;Acsa;Alta;Grande;6;42;0;NA;13.6;0.96;0.28;11.24;6.09
2012;Acne;Alta;Grande;3;21;0;NA;6.88;13.92;0.39;14.18;9.54
2017;Acsa;Alta;Grande;6;42;0;NA;11.78;1;0.39;11.77;7.5
2030;Acru;Alta;Grande;9;63;0;NA;8.54;0.54;0;6.21;8.02
2049;Acne;Alta;Grande;6;42;0;NA;7.82;0.57;0.22;10.06;9
2054;Acru;Alta;Grande;6;42;0;NA;6.06;23.49;0.43;14.42;7.61
2057;Acru;Alta;Grande;9;63;0;NA;12.23;1.85;0.24;11.08;9.87
2058;Acne;Alta;Grande;NA;63;1;NA;NA;17.96;0.37;12.57;6.48
2074;Acru;Alta;Grande;NA;63;1;NA;NA;0.36;0.28;10.47;10.73
2095;Acru;Alta;Grande;NA;34;1;NA;NA;6.64;0.33;12.36;9.35
2099;Acne;Alta;Grande;9;63;0;NA;6.97;0.57;0.22;10.06;9
2100;Acru;Alta;Grande;NA;63;1;NA;NA;10.7;0.42;13.69;11.13
2102;Acsa;Alta;Grande;9;63;0;NA;10.44;0;0.29;10.99;3.43
2106;Acsa;Alta;Grande;NA;63;1;NA;NA;0;0.13;9.3;6.57
2109;Acru;Alta;Grande;3;21;0;NA;8.59;0;0.4;12.13;12.34
2113;Acsa;Alta;Grande;NA;46;1;NA;NA;10.7;0.42;13.69;11.13
2125;Acru;Alta;Grande;NA;63;1;NA;NA;0;0.15;9.25;9.62
2129;Acru;Alta;Grande;3;21;0;NA;6.42;17.96;0.37;12.57;6.48
2131;Acne;Alta;Grande;NA;63;1;NA;NA;16.33;0.39;13.19;7.01
2133;Acsa;Alta;Grande;3;21;0;NA;13.01;0;0.13;9.3;7.89
2139;Acne;Alta;Grande;3;21;0;NA;4.5;17.96;0.37;12.57;6.48
2150;Acsa;Alta;Grande;NA;63;1;NA;NA;0;0.17;11.18;14.68
2154;Acne;Alta;Grande;6;42;0;NA;7.25;17.58;0.37;12.82;6.52
2157;Acne;Alta;Grande;NA;63;1;NA;NA;0;0.4;11.9;9.97
2160;Acsa;Alta;Grande;9;63;0;NA;13.05;17.9;0.37;12.47;6.55
2179;Acru;Alta;Grande;6;42;0;NA;5.78;10.7;0.42;13.69;11.13
2181;Acsa;Alta;Grande;NA;63;1;NA;NA;16.68;0.48;16.01;11.99
2183;Acsa;Alta;Grande;3;21;0;NA;12.75;4.4;0.39;12.04;6.07
2190;Acne;Alta;Grande;9;63;0;NA;7.36;17.96;0.37;12.57;6.48
2220;Acne;Alta;Grande;NA;63;1;NA;NA;10.22;0.38;13.5;9.48
2225;Acru;Alta;Grande;9;63;0;NA;7.22;0;0.39;11.44;3.02
2230;Acne;Alta;Grande;3;21;0;NA;4.49;0;0.55;13.02;8.82
2243;Acsa;Alta;Grande;6;42;0;NA;6.26;0.88;0.21;10.1;9.4
2249;Acsa;Alta;Grande;6;42;0;NA;12.71;0.34;0.14;9.72;8.44
2253;Acne;Alta;Grande;6;42;0;NA;4.69;0;-0.09;7.05;5.92
2256;Acne;Alta;Grande;9;63;0;NA;8.69;0;0;7.49;2.24
2258;Acne;Alta;Grande;NA;63;1;NA;NA;1;0.42;12.21;7.09
2280;Acne;Alta;Grande;NA;18;1;NA;NA;0;0.08;8.05;9.76
2285;Acru;Alta;Grande;NA;63;1;NA;NA;0.57;0.22;10.06;9
2288;Acne;Alta;Grande;NA;63;1;NA;NA;17.96;0.37;12.57;6.48
2289;Acne;Alta;Grande;3;21;0;NA;5.26;23.3;0.42;14.36;7.52
2300;Acsa;Alta;Grande;9;63;0;NA;15.82;10.7;0.42;13.69;11.13
2313;Acsa;Alta;Grande;NA;63;1;NA;NA;17.38;0.37;12.92;6.56
2320;Acru;Alta;Grande;NA;17;1;NA;NA;17.96;0.37;12.57;6.48
2325;Acru;Alta;Grande;6;42;0;NA;5.03;1;0.19;10.48;5.22
2334;Acsa;Alta;Grande;NA;58;1;NA;NA;10.7;0.42;13.69;11.13
2346;Acru;Alta;Grande;NA;63;1;NA;NA;10.7;0.42;13.69;11.13
2352;Acru;Alta;Grande;NA;63;1;NA;NA;17.96;0.37;12.57;6.48
2363;Acsa;Alta;Grande;NA;63;1;NA;NA;0.57;0.22;10.06;9
2378;Acsa;Alta;Grande;9;63;0;NA;17.74;0.57;0.22;10.06;9
2384;Acsa;Alta;Grande;NA;63;1;NA;NA;10.7;0.42;13.69;11.13
2396;Acne;Alta;Grande;6;42;0;NA;6.48;0;0;7.49;3.82
21;Acsa;Baja;Pequeño;3;21;0;NA;11.85;0.93;0.02;7.91;5.86
24;Acru;Baja;Pequeño;6;42;0;NA;5.16;0;-0.09;5.39;9.35
41;Acsa;Baja;Pequeño;9;63;0;NA;6.2;0;0.16;9.32;3.46
43;Acne;Baja;Pequeño;6;42;0;NA;6.37;0.31;-0.18;5.13;8.6
46;Acsa;Baja;Pequeño;NA;32;1;NA;NA;0;0.07;7.35;10.16
50;Acsa;Baja;Pequeño;6;42;0;NA;7.82;2.03;0.19;10.89;13.2
58;Acsa;Baja;Pequeño;6;42;0;NA;13.44;1.6;-0.08;6.93;6.06
72;Acru;Baja;Pequeño;9;63;0;NA;6.55;1.51;0.05;8.1;6.48
74;Acsa;Baja;Pequeño;9;63;0;NA;14.49;0.31;-0.15;5.48;8.48
76;Acru;Baja;Pequeño;NA;15;1;NA;NA;1.62;0.09;8.54;11.21
89;Acsa;Baja;Pequeño;3;21;0;NA;17.18;0.84;0.03;7.49;10.05
104;Acru;Baja;Pequeño;3;21;0;NA;5.02;1.5;0.05;8.12;6.51
105;Acsa;Baja;Pequeño;NA;44;1;NA;NA;0.51;0.15;9.92;11.95
107;Acne;Baja;Pequeño;9;63;0;NA;7.26;1.14;0;7.31;6.45
110;Acru;Baja;Pequeño;3;21;0;NA;8.75;0;-0.33;6.3;7.26
120;Acne;Baja;Pequeño;NA;19;1;NA;NA;0;-0.09;6.9;3.95
134;Acne;Baja;Pequeño;3;21;0;NA;1.95;1.61;-0.08;6.93;6.06
141;Acru;Baja;Pequeño;3;21;0;NA;7.93;0;-0.14;5.35;8.64
144;Acne;Baja;Pequeño;6;42;0;NA;5.15;3.11;0.24;11.84;13.38
148;Acru;Baja;Pequeño;NA;27;1;NA;NA;0.85;0.1;9.46;4.79
152;Acne;Baja;Pequeño;NA;37;1;NA;NA;0;0.11;9.73;12.61
167;Acru;Baja;Pequeño;6;42;0;NA;11.82;0;-0.06;6.96;4.61
173;Acsa;Baja;Pequeño;3;21;0;NA;13.86;2.61;0.2;11.41;6.87
182;Acne;Baja;Pequeño;NA;28;1;NA;NA;1.61;-0.08;6.93;6.06
194;Acne;Baja;Pequeño;3;21;0;NA;5.35;0;-0.32;6.49;3.65
197;Acsa;Baja;Pequeño;NA;63;1;NA;NA;0;-0.3;6.79;4.91
211;Acsa;Baja;Pequeño;NA;63;1;NA;NA;0;-0.34;5.79;8.23
214;Acsa;Baja;Pequeño;6;42;0;NA;12.01;1.5;0.05;8.12;6.51
223;Acne;Baja;Pequeño;9;63;0;NA;7.23;1.5;0.05;8.12;6.51
225;Acru;Baja;Pequeño;9;63;1;3.07;NA;0.2;-0.25;6.4;5.77
234;Acsa;Baja;Pequeño;9;63;0;NA;11.32;1.15;-0.12;5.84;8.73
241;Acsa;Baja;Pequeño;3;21;0;NA;11.94;0;0.05;7.77;5.28
244;Acru;Baja;Pequeño;9;63;1;NA;9.13;0.57;0.14;10.04;12.13
246;Acne;Baja;Pequeño;6;42;0;NA;5.59;0;0.19;10.55;13.51
251;Acru;Baja;Pequeño;NA;33;1;NA;NA;0.57;0.14;10.04;12.13
260;Acru;Baja;Pequeño;NA;21;1;NA;NA;1.61;-0.08;6.93;6.06
261;Acne;Baja;Pequeño;9;63;0;NA;5.35;2;0.05;8.35;7.07
279;Acne;Baja;Pequeño;NA;63;1;NA;NA;9.18;0.26;12.64;13.29
287;Acne;Baja;Pequeño;NA;34;1;NA;NA;1.09;-0.21;6.38;6.04
291;Acsa;Baja;Pequeño;6;42;0;NA;4.78;2.69;0.05;8.07;7.73
309;Acne;Baja;Pequeño;NA;40;1;NA;NA;1.15;-0.12;5.88;8.53
313;Acru;Baja;Pequeño;9;63;0;NA;8.13;0;0.15;9.84;12.34
333;Acne;Baja;Pequeño;3;21;0;NA;4.44;1.62;0.05;7.77;10.22
334;Acne;Baja;Pequeño;6;42;0;NA;1.35;3.12;-0.06;7.33;6.79
336;Acru;Baja;Pequeño;6;42;0;NA;7.84;0.57;0.14;10.04;12.13
339;Acru;Baja;Pequeño;3;21;0;NA;5.2;0;0.1;9.27;11.78
341;Acru;Baja;Pequeño;6;42;0;NA;10.19;0.94;-0.01;7.68;5.57
362;Acru;Baja;Pequeño;9;63;0;NA;10.18;1;0.21;10.54;11.81
382;Acne;Baja;Pequeño;9;63;0;NA;6.18;0;-0.39;6.35;6.79
386;Acsa;Baja;Pequeño;9;63;0;NA;9.32;0.51;0.15;10.07;12.08
422;Acsa;Baja;Pequeño;NA;35;1;NA;NA;1.61;-0.08;6.93;6.06
426;Acne;Baja;Pequeño;NA;46;1;NA;NA;2.97;0;7.68;6.8
434;Acru;Baja;Pequeño;NA;30;1;NA;NA;1.64;0.09;8.34;10.62
435;Acru;Baja;Pequeño;9;63;1;1.88;NA;1.61;-0.08;6.93;6.06
447;Acru;Baja;Pequeño;NA;63;1;NA;NA;1.61;-0.08;6.93;6.06
458;Acru;Baja;Pequeño;NA;24;1;NA;NA;1.5;0.05;8.12;6.51
468;Acne;Baja;Pequeño;NA;19;1;NA;NA;0;0.13;9.76;12.55
472;Acru;Baja;Pequeño;3;21;0;NA;8.65;22.17;0.22;13.12;7.77
474;Acru;Baja;Pequeño;3;21;0;NA;7.79;0.03;-0.11;5.55;8.87
495;Acne;Baja;Pequeño;3;21;0;NA;3.85;0.57;0.14;10.04;12.13
499;Acru;Baja;Pequeño;6;42;0;NA;5.23;0;0.18;10.75;13.85
505;Acsa;Baja;Pequeño;NA;20;1;NA;NA;0;-0.08;6.64;5.32
511;Acsa;Baja;Pequeño;3;21;0;NA;12.31;0;-0.22;6.66;6.73
521;Acne;Baja;Pequeño;6;42;0;NA;6.3;1.5;0.05;8.12;6.51
526;Acsa;Baja;Pequeño;NA;47;1;NA;NA;0.53;0.19;10.24;12.21
533;Acsa;Baja;Pequeño;6;42;0;NA;8.52;0;-0.02;5.34;8.46
537;Acne;Baja;Pequeño;NA;34;1;NA;NA;1.61;-0.08;6.93;6.06
548;Acsa;Baja;Pequeño;NA;47;1;NA;NA;16.11;0.22;12.4;7.32
549;Acsa;Baja;Pequeño;3;21;0;NA;12.99;0.57;0.14;10.04;12.13
550;Acne;Baja;Pequeño;9;63;0;NA;4.4;1.5;0.05;8.12;6.51
565;Acsa;Baja;Pequeño;9;63;0;NA;9.92;0;0.1;8.83;4.57
567;Acru;Baja;Pequeño;9;63;1;NA;6.18;0;-0.11;6.7;7.09
579;Acne;Baja;Pequeño;NA;43;1;NA;NA;0;0.15;10.68;14.13
582;Acne;Baja;Pequeño;3;21;0;NA;5.18;3.14;-0.02;7.57;6.77
587;Acru;Baja;Pequeño;NA;36;1;NA;NA;0;0.01;7.12;9.47
593;Acne;Baja;Pequeño;6;42;0;NA;3.18;1.5;0.05;8.12;6.51
594;Acru;Baja;Pequeño;9;63;0;NA;10.47;0;0.14;9.25;1.19
601;Acru;Baja;Pequeño;NA;45;1;NA;NA;2.01;-0.08;7.09;6.09
604;Acne;Baja;Pequeño;3;21;0;NA;6.61;0;-0.02;7.03;3.84
616;Acsa;Baja;Pequeño;6;42;0;NA;11.71;1.5;0.05;8.12;6.51
619;Acsa;Baja;Pequeño;9;63;0;NA;13.61;0.14;-0.07;6.84;5.52
623;Acne;Baja;Pequeño;9;63;0;NA;8.62;0;-0.17;6.37;6.26
631;Acne;Baja;Pequeño;NA;63;1;NA;NA;0;0.1;9.26;11.82
646;Acsa;Baja;Pequeño;NA;23;1;NA;NA;0.57;0.14;10.04;12.13
665;Acsa;Baja;Pequeño;NA;29;1;NA;NA;21.99;0.22;12.8;7.47
671;Acsa;Baja;Pequeño;NA;63;1;NA;NA;0.57;0.14;10.04;12.13
679;Acne;Baja;Pequeño;NA;31;1;NA;NA;1;-0.1;7.08;5.12
683;Acsa;Baja;Pequeño;NA;53;1;NA;NA;0;-0.18;6.39;5.93
695;Acru;Baja;Pequeño;9;63;1;2.3;NA;0;0.06;9.22;15.76
701;Acne;Baja;Pequeño;NA;28;1;NA;NA;0;-0.23;6.51;3.03
708;Acne;Baja;Pequeño;6;42;0;NA;5.75;0.57;0.14;10.04;12.13
712;Acne;Baja;Pequeño;9;63;0;NA;5.01;24.55;0.27;16.3;7.99
725;Acru;Baja;Pequeño;NA;15;1;NA;NA;2.64;0.2;11.07;13.1
736;Acru;Baja;Pequeño;6;42;0;NA;8.44;1.48;0.13;9.84;5.21
